filename,size_bytes,exif_DateTimeOriginal,xmp_DateCreated,fs_birthtime_local,fs_birthtime_utc,assetsd_timeZoneName,assetsd_creatorBundleID,assetsd_importedByDisplayName,exif_UserComment,assetsd_cloudAsset_UUID,assetsd_UUID,quarantine_agent,quarantine_timestamp_utc,sha256
IMG_3316.PNG,488567,2026:08:08 01:04:20,2026-08-08T01:04:20,2026-08-08 01:04:20,2026-08-07 17:04:20 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,3B04B84D-DCBD-48A6-A7FB-F452A99D4CD2,3B04B84D-DCBD-48A6-A7FB-F452A99D4CD2,sharingd,2026-08-07 17:13:29 UTC,ae92643d459d6b2c3740fa99c0a7555ab154172dd8a1a742f42a74fdd9d9edb5
IMG_3317.PNG,431152,2026:08:08 01:04:21,2026-08-08T01:04:21,2026-08-08 01:04:21,2026-08-07 17:04:21 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,6F2A0B51-9234-46AA-BE7C-C5856ECD40A2,6F2A0B51-9234-46AA-BE7C-C5856ECD40A2,sharingd,2026-08-07 17:13:29 UTC,c364c27a66992e3e012eb98fd5a4d04533bb1db746dd7b133c155e2deed8be50
IMG_3318.PNG,435336,2026:08:08 01:05:05,2026-08-08T01:05:05,2026-08-08 01:05:05,2026-08-07 17:05:05 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,72FA3C3C-DD7A-40EC-B9CB-180E8D5D3498,72FA3C3C-DD7A-40EC-B9CB-180E8D5D3498,sharingd,2026-08-07 17:13:29 UTC,e80fb769c4d50758bd40fe4b58a1efb18b16aa2a022ee2d198f9d91a0bd51cd4
IMG_3319.PNG,414512,2026:08:08 01:05:22,2026-08-08T01:05:22,2026-08-08 01:05:22,2026-08-07 17:05:22 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,E001A83B-0DE7-45D9-A087-ACF7B8C414F0,E001A83B-0DE7-45D9-A087-ACF7B8C414F0,sharingd,2026-08-07 17:13:29 UTC,2cd730da1cdc3723bb23f6ab9c293c728d2d5e94f40ff3b5860a3b2c19d42dc8
IMG_3320.PNG,528158,2026:08:08 01:05:52,2026-08-08T01:05:52,2026-08-08 01:05:52,2026-08-07 17:05:52 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,9C22E00A-74CF-490E-ABE3-BA37A0A52A53,9C22E00A-74CF-490E-ABE3-BA37A0A52A53,sharingd,2026-08-07 17:13:29 UTC,ee27692c450252169875b5f32e285439bd425afe3c6378f872a2c65186d963ef
IMG_3321.PNG,401679,2026:08:08 01:05:56,2026-08-08T01:05:56,2026-08-08 01:05:56,2026-08-07 17:05:56 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,A807A42F-CB7E-48E3-8981-56836CCCC490,A807A42F-CB7E-48E3-8981-56836CCCC490,sharingd,2026-08-07 17:13:29 UTC,86211ea3202f2b28db7d796537e0a9e1b28e2e8f2d2245400ff9f92a7229e534
IMG_3322.PNG,371890,2026:08:08 01:05:58,2026-08-08T01:05:58,2026-08-08 01:05:58,2026-08-07 17:05:58 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,1880380C-E77A-45DC-9DAD-3D64753E2325,1880380C-E77A-45DC-9DAD-3D64753E2325,sharingd,2026-08-07 17:13:29 UTC,dbcda0432826189b083c53ae69eaf269f97e9f873e1dc0ce545b09dfbb785b97
IMG_3323.PNG,386185,2026:08:08 01:06:13,2026-08-08T01:06:13,2026-08-08 01:06:13,2026-08-07 17:06:13 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,83E626CD-9FE5-47D4-9CBD-CD0A428981A3,83E626CD-9FE5-47D4-9CBD-CD0A428981A3,sharingd,2026-08-07 17:13:29 UTC,84f02f25ab82f814f544093ada97a4bdaaecc82a2c7844425d34af0d20d38f58
IMG_3324.PNG,533336,2026:08:08 01:06:15,2026-08-08T01:06:15,2026-08-08 01:06:15,2026-08-07 17:06:15 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,28093748-8414-4F52-90A7-0D7492600040,2809374884144f5290a70d749260,sharingd,2026-08-07 17:13:29 UTC,5e4e7ad9d5ef5d23cc0bd14704c0c38197e0e448f07bc0833bf0e0dc682d39cb
IMG_3325.PNG,370717,2026:08:08 01:06:20,2026-08-08T01:06:20,2026-08-08 01:06:20,2026-08-07 17:06:20 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,B725192C-A405-4A3E-858E-2229D9761D17,B725192C-A405-4A3E-858E-2229D9761D17,sharingd,2026-08-07 17:13:29 UTC,83b8b9257e3bba655e06f79c40fd096ab8d5f675766316321712dd52425f35f6
